offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
39.3598,4.00004,32,150,20,64,0.0032,10272,571.301,318.809,800
0.341213,4.00004,32,150,20,128,0.0001,47,2108.51,402.482,1400
2.13462,4.00004,32,150,20,128,0.0002,199,1018.09,426.759,1100
25.8341,4.00004,32,150,20,128,0.0004,554,847.834,432.397,1100
34.47,4.00004,32,150,20,128,0.0008,2141,630.733,363.54,900
38.6697,4.00004,32,150,20,128,0.0016,5047,590.45,318.181,800
37.3981,4.00004,32,150,20,128,0.0032,10263,595.625,310.609,800
1.78665,4.00004,32,150,40,1,0.0001,119,1645.38,437.325,1100
12.8181,4.00004,32,150,40,1,0.0002,255,1151.37,620.81,900
30.298,4.00004,32,150,40,1,0.0004,1144,742.133,390.516,1200
37.5502,4.00004,32,150,40,1,0.0008,2443,691.486,426.532,800
37.1283,4.00004,32,150,40,1,0.0016,5064,608.768,340.067,800
37.5465,4.00004,32,150,40,1,0.0032,10148,576.409,333.893,800
0.726192,4.00004,32,150,40,2,0.0001,73,1800,494.064,1400
20.5528,4.00004,32,150,40,2,0.0002,300,1160.33,654.111,1000
32.2281,4.00004,32,150,40,2,0.0004,1041,843.804,483.293,1300
36.2595,4.00004,32,150,40,2,0.0008,2473,662.596,352.251,800
39.0052,4.00004,32,150,40,2,0.0016,5056,596.282,346.486,800
39.4621,4.00004,32,150,40,2,0.0032,10103,575.73,334.739,800
0.94603,4.00004,32,150,40,4,0.0001,73,1610.96,475.228,1200
12.0876,4.00004,32,150,40,4,0.0002,290,1327.59,874.339,1000
31.0401,4.00004,32,150,40,4,0.0004,1120,785.893,405.751,800
38.2281,4.00004,32,150,40,4,0.0008,2631,735.348,447.916,900
38.9746,4.00004,32,150,40,4,0.0016,5115,634.741,374.049,800
39.6055,4.00004,32,150,40,4,0.0032,10231,561.46,336.637,800
0.608567,4.00004,32,150,40,8,0.0001,79,1762.03,459.494,1300
16.0487,4.00004,32,150,40,8,0.0002,250,1015.2,433.934,900
33.0272,4.00004,32,150,40,8,0.0004,1041,754.371,533.71,800
37.7346,4.00004,32,150,40,8,0.0008,2539,719.299,433.451,800
36.0501,4.00004,32,150,40,8,0.0016,5220,596.264,351.957,800
39.4963,4.00004,32,150,40,8,0.0032,10321,576.94,347.985,800
0.924968,4.00004,32,150,40,16,0.0001,93,1346.24,491.756,1400
14.7832,4.00004,32,150,40,16,0.0002,303,919.142,431.699,1000
35.8033,4.00004,32,150,40,16,0.0004,1186,991.906,780.312,900
36.0234,4.00004,32,150,40,16,0.0008,2592,708.681,372.579,800
36.9096,4.00004,32,150,40,16,0.0016,5175,640.541,435.042,900
39.5349,4.00004,32,150,40,16,0.0032,10127,571.275,342.22,800
0.909796,4.00004,32,150,40,32,0.0001,66,1631.82,502.273,1200
19.6072,4.00004,32,150,40,32,0.0002,304,1062.17,505.647,1100
32.6103,4.00004,32,150,40,32,0.0004,1065,977.089,809,900
35.6793,4.00004,32,150,40,32,0.0008,2471,668.353,425.03,800
38.8887,4.00004,32,150,40,32,0.0016,5229,624.269,352.187,800
39.4959,4.00004,32,150,40,32,0.0032,10102,554.177,326.36,800
0.700153,4.00004,32,150,40,64,0.0001,93,1341.94,526.093,1300
4.60371,4.00004,32,150,40,64,0.0002,224,1534.38,668.2,1000
35.4931,4.00004,32,150,40,64,0.0004,1084,831.273,505.972,800
36.212,4.00004,32,150,40,64,0.0008,2609,652.127,358.372,800
38.7961,4.00004,32,150,40,64,0.0016,5026,626.92,390.037,800
39.4756,4.00004,32,150,40,64,0.0032,10054,571.593,325.746,800
1.55982,4.00004,32,150,40,128,0.0001,86,1431.4,502.519,1900
5.3732,4.00004,32,150,40,128,0.0002,270,1354.81,999.167,1300
33.8701,4.00004,32,150,40,128,0.0004,1123,757.524,492.685,900
37.8827,4.00004,32,150,40,128,0.0008,2558,679.789,380.134,800
36.9155,4.00004,32,150,40,128,0.0016,5092,633.798,340.171,800
39.3823,4.00004,32,150,40,128,0.0032,10102,588.022,317.289,800
0.22877,4.00004,32,200,5,1,0.0001,29,1758.62,491.667,900
0.207611,4.00004,32,200,5,1,0.0002,78,1278.21,289.423,900
