offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
31.1183,0.0737469,32,150,20,8,0.016,5033,9957842,23599,52,3
31.5385,0.133791,32,150,20,8,0.032,10247,10092314,42813,36,5
10.3136,0.00992187,32,150,20,16,0.001,329,3300359,3175,149,1
24.5276,0.0153531,32,150,20,16,0.002,633,7848832,4913,149,1
28.7253,0.0185,32,150,20,16,0.004,1252,9192104,5920,149,2
30.2312,0.0397719,32,150,20,16,0.008,2566,9673986,12727,105,2
31.1159,0.0747812,32,150,20,16,0.016,5216,9957090,23930,51,3
31.493,0.135397,32,150,20,16,0.032,10368,10077745,43327,30,4
11.3616,0.00159688,32,150,20,32,0.001,324,3635705,511,149,1
23.1077,0.00801875,32,150,20,32,0.002,683,7394471,2566,149,1
28.2027,0.0142844,32,150,20,32,0.004,1262,9024865,4571,149,2
30.0743,0.0374594,32,150,20,32,0.008,2648,9623771,11987,96,4
30.8688,0.0745063,32,150,20,32,0.016,5109,9878023,23842,63,3
31.343,0.129722,32,150,20,32,0.032,10198,10029764,41511,37,4
9.89624,0.00590625,32,150,20,64,0.001,318,3166797,1890,149,1
21.8839,0.00555,32,150,20,64,0.002,627,7002850,1776,149,2
28.1649,0.0124375,32,150,20,64,0.004,1236,9012755,3980,149,1
29.7704,0.0397969,32,150,20,64,0.008,2570,9526541,12735,113,2
30.7469,0.0700344,32,150,20,64,0.016,5079,9839011,22411,66,3
31.1066,0.134988,32,150,20,64,0.032,10204,9954119,43196,38,4
6.64768,0.0073875,32,150,20,128,0.001,214,2127257,2364,149,1
21.7917,0.006025,32,150,20,128,0.002,655,6973339,1928,149,1
27.7557,0.0214438,32,150,20,128,0.004,1310,8881817,6862,149,1
29.5235,0.0381969,32,150,20,128,0.008,2630,9447510,12223,120,2
30.1935,0.0695875,32,150,20,128,0.016,5142,9661911,22268,85,4
30.6909,0.135794,32,150,20,128,0.032,10198,9821099,43454,49,4
19.8593,0.0185594,32,150,40,1,0.001,314,6354978,5939,149,1
26.2115,0.0297281,32,150,40,1,0.002,648,8387681,9513,149,2
28.6958,0.0399344,32,150,40,1,0.004,1274,9182647,12779,100,2
30.289,0.08635,32,150,40,1,0.008,2522,9692468,27632,50,3
31.3328,0.164591,32,150,40,1,0.016,5094,10026496,52669,27,5
31.5891,0.261406,32,150,40,1,0.032,10251,10108505,83650,15,6
16.9284,0.0213844,32,150,40,2,0.001,310,5417074,6843,149,1
25.4609,0.0287281,32,150,40,2,0.002,672,8147491,9193,146,1
28.6988,0.0554656,32,150,40,2,0.004,1275,9183626,17749,103,2
30.4043,0.0885281,32,150,40,2,0.008,2586,9729380,28329,43,3
31.0833,0.158234,32,150,40,2,0.016,5095,9946665,50635,33,3
31.5796,0.251484,32,150,40,2,0.032,10188,10105479,80475,14,6
17.7752,0.017425,32,150,40,4,0.001,308,5688073,5576,149,1
26.0289,0.0401094,32,150,40,4,0.002,649,8329264,12835,148,2
28.6983,0.0624188,32,150,40,4,0.004,1227,9183447,19974,103,2
30.3263,0.0883656,32,150,40,4,0.008,2499,9704420,28277,51,3
31.0916,0.152416,32,150,40,4,0.016,5073,9949320,48773,29,4
31.6211,0.243306,32,150,40,4,0.032,10251,10118768,77858,14,5
18.5444,0.0182281,32,150,40,8,0.001,346,5934216,5833,149,1
25.106,0.0406094,32,150,40,8,0.002,648,8033912,12995,147,1
29.3215,0.0563563,32,150,40,8,0.004,1340,9382891,18034,86,2
30.3081,0.0899875,32,150,40,8,0.008,2610,9698580,28796,44,3
31.0045,0.144516,32,150,40,8,0.016,4974,9921433,46245,27,5
31.5637,0.236406,32,150,40,8,0.032,10268,10100373,75650,14,6
18.5653,0.0162281,32,150,40,16,0.001,328,5940891,5193,149,1
25.7565,0.0273656,32,150,40,16,0.002,652,8242080,8757,143,2
28.7225,0.0394063,32,150,40,16,0.004,1301,9191191,12610,117,1
30.4332,0.0744188,32,150,40,16,0.008,2584,9738635,23814,47,2
31.1415,0.139384,32,150,40,16,0.016,5315,9965285,44603,27,4
31.4724,0.236681,32,150,40,16,0.032,10160,10071153,75738,15,7
18.9013,0.0188687,32,150,40,32,0.001,325,6048416,6038,149,1
24.9318,0.0140375,32,150,40,32,0.002,645,7978170,4492,149,1
28.9139,0.0407344,32,150,40,32,0.004,1317,9252436,13035,105,2
30.3414,0.079925,32,150,40,32,0.008,2596,9709232,25576,54,3
30.9521,0.132641,32,150,40,32,0.016,5141,9904667,42445,33,4
31.3437,0.230075,32,150,40,32,0.032,10273,10029980,73624,18,5
18.8676,0.0161719,32,150,40,64,0.001,320,6037639,5175,149,1
25.0423,0.0350344,32,150,40,64,0.002,615,8013550,11211,147,2
28.4654,0.034575,32,150,40,64,0.004,1302,9108941,11064,98,2
29.7465,0.0715156,32,150,40,64,0.008,2507,9518871,22885,62,3
30.6473,0.137516,32,150,40,64,0.016,5145,9807132,44005,31,4
31.1629,0.227878,32,150,40,64,0.032,10308,9972135,72921,19,5
16.9492,0.00667812,32,150,40,128,0.001,323,5423741,2137,149,1
24.7267,0.02005,32,150,40,128,0.002,663,7912559,6416,148,1
27.9761,0.0362531,32,150,40,128,0.004,1337,8952359,11601,117,2
29.3701,0.0795437,32,150,40,128,0.008,2572,9398444,25454,65,4
30.279,0.135628,32,150,40,128,0.016,5192,9689265,43401,42,4
30.729,0.227859,32,150,40,128,0.032,10199,9833271,72915,24,6
2.11052,0.0460656,32,200,5,1,0.001,109,675368,14741,199,1
5.89588,0.0358719,32,200,5,1,0.002,502,1886681,11479,199,3
17.7732,0.0152156,32,200,5,1,0.004,1258,5687411,4869,199,1
29.741,0.0150344,32,200,5,1,0.008,2578,9517107,4811,199,1
31.1374,0.0272906,32,200,5,1,0.016,5104,9963982,8733,199,2
31.6221,0.0413469,32,200,5,1,0.032,10154,10119076,13231,119,2
2.34894,0.0730437,32,200,5,2,0.001,160,751662,23374,199,2
7.39011,0.0159656,32,200,5,2,0.002,602,2364834,5109,199,1
18.9648,0.0120344,32,200,5,2,0.004,1302,6068734,3851,199,1
